fact,explanation,action,gen_time
"[-0.2258966, 0.20051481, 0.16418225, -0.050856307, 0.02326283, -0.0022702275, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.10365973, 1.0671974, -0.03473298, -0.034565043, -0.0072124735, -0.011421515, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.4277535, 0.5647078, -0.07749085, -0.03509439, -0.024562802, 0.0039706114, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.1113287, 0.98331785, 0.0024347878, -0.020758333, -0.0042161066, 0.020775734, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.042613886, 1.4534903, 0.15164554, -0.0880397, 0.021062948, 0.041794218, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0009961128234863281
"[-0.036515236, 0.7474328, -0.02287512, -0.011729638, -0.008463445, 0.02021243, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.12261009, 0.18081366, 0.1778576, -0.07020812, 0.0076305578, -0.015230742, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0]",3,0.0
"[0.006350803, 1.1840603, -0.08442872, -0.071893625, -0.0017853065, -0.016051728, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.042881966, 0.44640034, 0.049153782, -0.056617387, 0.011521993, 0.00039745617, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.30476227, 1.5467179, 0.5698608, 0.25122258, 0.2593881, 0.23131879, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",3,0.0009999275207519531
"[0.04791536, 0.79283154, -0.025329128, -0.021563418, -0.00375322, 0.0268515, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.021341037, 1.1382695, -0.119673036, -0.13939242, -0.00506239, -0.0025763442, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.16898346, 0.13249141, 0.035817713, -0.011279492, -0.030349035, 0.047442846, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.013736725, -0.0004140878, 0.0010953859, -0.00010520113, 0.00022673405, -0.00031443388, 1.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.007896709, 0.13923556, 0.05081586, 0.015505434, 0.060486887, 0.090424225, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010008811950683594
"[0.4209072, 1.1222017, -0.004075591, 0.024407608, -0.02132604, -0.3053627, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.101529025, 1.1826898, 0.025308285, -0.03497264, -0.0033990904, 0.023847852, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.24039832, 1.1271192, 0.14919427, -0.14707226, 0.11985551, -0.17910478, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.4943734, 1.0808185, -0.0018660724, 0.014294328, -0.0141204465, 0.008561559, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.23835726, 0.22053367, 0.083150916, -0.03002305, 0.018686317, 0.002166098, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010008811950683594
"[0.015785694, 0.041659936, -0.023431221, -0.042134535, -0.013046358, -0.0005387122, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.33361015, 1.2315823, 0.037793897, 0.010427761, 0.014047296, 0.06557995, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.022116756, 0.21567966, -0.0512289, 0.0026252589, -0.024430668, -0.012370839, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.49162054, 1.122683, 0.08751939, -0.5164966, -0.20872985, 0.0031061042, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 1]",3,0.0
"[0.86740077, 0.33721334, 0.5863018, 0.7956229, 0.273494, 0.24141726, 0.0, 0.0]","[1, 0, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.43163624, 1.0560172, -0.11181257, -0.007067552, -0.04843891, -0.022470552, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]",3,0.00099945068359375
"[-0.06381579, 1.386231, -0.14257622, -0.18352409, -0.024890104, 0.0898139, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.2828632, 0.25242984, -0.11027224, -0.02009948, -0.0016615555, 0.068292655, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.32772142, 1.1844779, 0.1204461, -0.29549783, -0.05123726, 0.14467093, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0010404586791992188
"[0.14893503, 1.259337, 0.19098474, -0.12892176, 0.042642713, -0.015056988, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 1]",3,0.0
"[0.009531975, 0.19131397, -0.0033300319, -0.0036760166, 0.0021877645, 0.0016458208, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.29220852, 0.5959593, 0.05426737, -0.06695173, 0.059615925, 0.08899729, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.064498045, 0.37628996, 0.06469469, -6.155907e-05, 0.058739174, 0.0322876, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.001004934310913086
"[0.0017843246, 0.19380398, 0.0552965, -0.005158994, 0.023277303, -0.0074083684, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.29391447, 1.1893073, 0.007068685, -0.057622824, -0.0026439785, 0.027070444, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.5336136, 0.3794637, 0.07727827, -0.06676337, 0.061068334, 0.103690766, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.27820435, 0.17572518, 0.04923648, -0.014605398, 0.00020419198, 0.052538067, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.086760424, 1.441869, -0.27399185, -0.29483974, 0.008556975, 0.021801101, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009989738464355469
"[0.052484415, 0.7392225, -0.006205113, 0.017374855, -7.993629e-05, 0.016018385, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.40689954, 1.1843698, -0.9436329, 0.29962274, 0.046085045, -0.03134531, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.15234861, 1.177562, 0.027750319, -0.039072726, -0.01344975, 0.094680145, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.06242504, 1.088587, -0.105342664, -0.13077967, -0.021030266, 0.017434614, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.02631111, 0.14784144, -0.04191688, -0.01839498, -0.08928104, 0.063388385, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.00099945068359375
"[-0.41775927, 1.1571492, -0.0049159825, 0.024152283, 0.0006119376, -0.0023346036, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.12972288, 0.78893155, -0.015083067, -0.005825723, -0.0036756666, -0.021546282, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.18528633, 0.46875474, 0.03803425, -0.0271237, 0.008798506, 0.016846009, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.2177495, 0.8775015, 0.067232594, -0.008001284, 0.053088006, -0.005262835, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.0056621553, 0.181547, -0.02686647, 0.027018432, -0.005463806, -0.018855393, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0010030269622802734
"[0.049805067, 0.065714486, -0.0005707451, 0.011431784, -0.07674475, 0.042851932, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.020371724, 0.65596575, -0.02663515, -0.0019190757, -0.006843266, -0.0010705525, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.40752238, 1.1502584, 0.043021366, -0.0001417446, 0.022063147, -0.009157521, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.027046967, 0.2523212, -0.008538499, -0.031108227, -0.015756108, -0.0073088445, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.3422231, 0.15166254, -0.12524477, 0.0048895692, -0.018448468, -0.041252412, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0009987354278564453
"[0.15924892, 0.84790236, -0.022035059, -0.0039619384, 0.001108377, 0.025281325, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.441078, 0.83527523, 0.37934235, -0.8804453, -1.2522869, -1.5189023, 0.0, 0.0]","[1, 1, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.11815472, 0.90432286, -0.004011851, -0.01882139, 0.011383004, -0.041331515, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.05632038, 0.93527573, 0.026268873, -0.008913982, 0.035061453, -0.004383016, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009996891021728516
"[-0.2883427, 1.1434755, -0.31694528, -0.09231198, 0.0007330963, -0.12032477, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.06055479, 0.20132704, 0.025653418, 0.004233426, 0.11775823, -0.020552304, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.009173393, 1.2726536, 0.033939835, -0.03565967, 0.010497631, -0.006126234, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.05203743, 0.14275998, 0.019265864, 0.0013309146, -0.036317512, -0.010389017, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.45769817, 1.1064649, -0.025081908, -0.007563028, -0.010754443, -0.02688245, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.15670928, 0.92071766, 0.0076075895, 0.0328391, 0.008152665, 0.01899676, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.00099945068359375
"[0.30617276, 1.2929357, 0.053407054, -0.07496157, 0.25465482, -0.32107204, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
